10000 7500
1120 44 11559
1121 184 22111
1122 155 14855
1123 115 6026
1124 116 22934
1125 87 1867
1126 53 22545
1127 145 20087
1128 140 2245
1129 135 14741
1130 115 4814
1131 164 29779
1132 198 27127
1133 161 29384
1134 59 21575
1135 122 4822
1136 117 27586
1137 76 4880
1138 192 18270
1139 97 23203
1140 171 29576
1141 86 7823
1142 112 2374
1143 189 24587
1144 131 8563
1145 183 1493
1146 40 11594
1147 79 27822
1148 137 23663
1149 29 28019
1150 45 5174
1151 112 24722
1152 95 6124
1153 137 4254
1154 193 16857
1155 121 11948
1156 120 28878
1157 50 14904
1158 75 383
1159 122 18573
1160 25 25169
1161 89 11377
1162 114 4039
1163 182 4538
1164 45 19106
1165 148 12938
1166 111 18100
1167 131 9742
1168 87 13611
1169 195 24967
1170 27 11451
1171 106 29603
1172 160 15740
1173 82 24283
1174 34 347
1175 79 7770
1176 147 15624
1177 178 14981
1178 86 4695
1179 38 23715
1180 144 4778
1181 100 24431
1182 85 27014
1183 164 23451
1184 136 24518
1185 89 23794
1186 137 14387
1187 188 22648
1188 54 14253
1189 170 22599
1190 176 12489
1191 200 22818
1192 168 19514
1193 110 24125
1194 200 3668
1195 87 712
1196 37 842
1197 190 7673
1198 55 12017
1199 171 21182
1200 62 2243
1201 168 12502
1202 93 21075
1203 134 16754
1204 88 4783
1205 48 2631
1206 127 16072
1207 48 21734
1208 153 9598
1209 75 12496
1210 185 10049
1211 47 28061
1212 51 21052
1213 109 21449
1214 52 19559
1215 111 9602
1216 113 10310
1217 127 14782
1218 96 9956
1219 167 25767
1220 27 17239
1221 149 14713
1222 54 197
1223 151 21598
1224 170 28657
1225 197 29410
1226 89 4
1227 166 25947
1228 55 15906
1229 172 24123
1230 192 12730
1231 148 3616
1232 199 2178
1233 149 7126
1234 174 26284
1235 69 9576
1236 122 13993
1237 168 29535
1238 165 734
1239 196 334
1240 70 7928
1241 103 14447
1242 35 16268
1243 49 5338
1244 69 4140
1245 188 20340
1246 29 9535
1247 140 16259
1248 136 18704
1249 113 6549
1250 195 8981
1251 84 11212
1252 149 16764
1253 130 13514
1254 97 20933
1255 175 29591
1256 181 26294
1257 77 13143
1258 73 781
1259 184 21086
1260 49 24291
1261 153 28141
1262 57 11732
1263 184 21889
1264 172 14136
1265 77 28126
1266 116 20913
1267 146 22440
1268 116 9139
1269 41 1524
1270 128 26152
1271 130 5284
1272 85 21502
1273 50 11357
1274 35 13258
1275 114 3555
1276 132 26571
1277 39 11373
1278 150 22446
1279 197 27793
1280 157 8049
1281 151 6048
1282 137 17960
1283 176 12988
1284 162 10792
1285 104 9873
1286 135 21977
1287 124 12091
