1000 45
1120 182 1948
1121 178 2665
1122 74 2452
1123 140 914
1124 178 2022
1125 119 2239
1126 54 1389
1127 197 2253
1128 176 80
1129 67 1442
1130 83 1310
1131 58 721
1132 125 765
1133 175 2565
1134 130 983
1135 187 1055
1136 130 2420
1137 199 2547
1138 72 2906
1139 149 777
1140 63 1699
1141 199 2253
1142 95 2939
1143 105 1854
1144 123 827
1145 176 2805
1146 160 689
1147 117 2164
1148 181 1555
1149 168 2934
1150 113 834
1151 149 170
1152 70 2059
1153 84 2125
1154 149 528
1155 29 1595
1156 139 620
1157 143 17
1158 86 2704
1159 143 928
1160 58 2870
1161 52 370
1162 78 1960
1163 141 2362
1164 162 1965
1165 159 402
1166 190 987
1167 91 403
1168 182 639
1169 39 2362
1170 110 132
1171 68 1096
1172 111 2155
1173 121 2012
1174 98 687
1175 108 2739
1176 108 1023
1177 188 1817
1178 31 345
1179 34 496
1180 101 1176
1181 106 2810
1182 139 2172
1183 189 2560
1184 74 443
1185 177 1680
1186 110 228
1187 135 2028
1188 158 1591
1189 120 1591
1190 157 1331
1191 114 536
1192 25 2141
1193 152 2335
1194 93 1233
1195 63 2497
1196 129 1432
1197 59 1923
1198 179 223
1199 114 765
1200 113 754
1201 140 1943
1202 125 2570
1203 146 1067
1204 169 2713
1205 65 1493
1206 67 1690
1207 117 748
1208 119 2084
1209 26 667
1210 29 616
1211 44 77
1212 71 174
1213 127 354
1214 52 832
1215 30 1412
1216 121 913
1217 90 269
1218 146 2028
1219 167 2346
1220 140 1344
1221 103 135
1222 113 219
1223 178 1215
1224 62 1315
1225 146 2970
1226 107 2749
1227 126 1681
1228 106 2044
1229 66 317
1230 195 503
1231 136 2163
1232 143 2434
1233 136 2249
1234 165 1118
1235 66 552
1236 61 2784
1237 38 2846
1238 26 1919
1239 172 8
1240 122 645
1241 57 2868
1242 145 375
1243 44 666
1244 138 1286
1245 46 2997
1246 84 414
1247 47 555
1248 175 1942
1249 43 1659
1250 76 2100
1251 170 224
1252 92 248
1253 77 2589
1254 126 1833
1255 84 103
1256 141 2925
1257 114 574
1258 139 2222
1259 63 420
1260 83 277
1261 72 2646
1262 170 2927
1263 160 1240
1264 68 706
1265 34 2631
1266 62 2811
1267 159 2041
1268 162 627
1269 85 2576
1270 59 1929
1271 174 2288
1272 61 352
1273 189 2503
1274 197 1451
1275 178 431
1276 175 690
1277 36 2768
1278 72 980
1279 103 187
1280 149 1608
1281 162 1490
1282 91 376
1283 178 1476
1284 194 2863
1285 179 1165
1286 183 1433
1287 156 995
1288 40 664
1289 33 1708
1290 122 1122
1291 106 1545
1292 163 2917
1293 56 2778
1294 152 23
1295 77 2933
1296 46 134
1297 150 48
1298 197 8
1299 28 2214
1300 54 278
1301 106 2012
1302 198 1181
1303 70 1197
1304 132 1206
1305 64 1662
1306 127 2745
1307 78 1490
1308 126 2221
1309 51 1261
1310 107 1231
1311 41 873
1312 180 671
1313 104 2928
1314 110 147
1315 54 1251
1316 153 2871
1317 102 190
1318 124 971
1319 115 247
1320 88 1642
1321 36 1854
1322 163 2465
1323 31 1752
1324 126 1610
1325 28 928
1326 200 2261
1327 200 2260
1328 27 776
1329 107 1312
1330 74 1680
1331 114 2050
1332 199 175
1333 104 2602
1334 89 978
1335 104 672
1336 99 2108
1337 93 1709
1338 132 220
1339 188 609
1340 85 1528
1341 129 2724
1342 164 1392
1343 191 1422
1344 159 1522
1345 141 441
1346 161 2646
1347 162 1751
1348 172 2081
1349 144 1316
1350 186 1904
1351 139 29
1352 27 1863
1353 185 286
1354 122 2901
1355 167 1614
1356 116 135
1357 130 2567
1358 150 672
1359 172 693
1360 145 1072
1361 181 2746
1362 93 974
1363 192 888
1364 135 552
1365 51 112
1366 47 1541
1367 68 1169
1368 123 2933
1369 46 189
1370 89 52
1371 90 1612
1372 34 491
1373 122 1712
1374 67 2869
1375 132 1059
1376 68 1240
1377 44 2360
1378 181 2652
1379 63 2267
1380 35 153
1381 99 361
1382 117 574
1383 145 151
1384 122 686
1385 187 690
1386 42 2845
1387 53 923
1388 71 1182
1389 74 2201
1390 170 2741
1391 52 45
1392 156 1063
1393 100 545
1394 82 354
1395 115 1268
1396 90 2893
1397 188 254
1398 83 860
1399 149 1324
1400 98 1095
1401 118 2283
1402 187 1666
1403 29 1626
1404 48 543
1405 98 1601
1406 123 1085
1407 158 1967
1408 60 1401
1409 143 565
1410 59 2673
1411 73 2964
1412 174 1164
1413 58 384
1414 56 1326
1415 163 569
1416 68 720
1417 107 1063
1418 90 1111
1419 40 2585
1420 53 865
1421 57 2640
1422 166 182
1423 158 2153
1424 175 1468
1425 69 1041
1426 84 1901
1427 196 1057
1428 105 1925
1429 40 2088
1430 98 499
1431 128 374
1432 122 562
1433 124 955
1434 72 1475
1435 115 677
1436 179 2428
1437 180 1992
1438 89 2273
1439 96 1543
1440 52 861
1441 71 2583
1442 121 1291
1443 96 177
1444 159 2431
1445 200 817
1446 41 2623
1447 126 1147
1448 88 2625
1449 77 1856
1450 51 344
1451 164 789
1452 179 551
1453 165 2379
1454 31 1276
1455 170 1266
1456 64 1208
1457 96 2601
1458 34 1487
1459 113 65
1460 142 2041
1461 41 1198
1462 167 2422
1463 160 2199
1464 54 2149
1465 54 848
1466 68 1289
1467 100 2262
1468 199 2120
1469 152 2013
