100 40
1120 60 49
1121 45 168
1122 186 87
1123 95 256
1124 166 275
1125 155 197
1126 134 104
1127 72 66
1128 150 84
1129 179 237
1130 84 14
1131 186 90
1132 156 286
1133 191 176
1134 31 236
1135 193 250
1136 124 269
1137 141 186
1138 32 207
1139 33 185
1140 166 19
1141 133 107
1142 67 196
1143 160 28
1144 116 158
1145 133 127
1146 103 242
1147 76 274
1148 115 147
1149 65 182
1150 78 265
1151 115 170
1152 134 52
1153 87 41
1154 194 247
1155 177 243
1156 186 109
1157 74 140
1158 152 25
1159 171 87
1160 147 235
1161 57 105
1162 85 233
1163 99 207
1164 39 31
1165 48 212
1166 60 271
1167 69 33
1168 58 187
1169 61 83
1170 42 101
1171 138 151
1172 185 179
1173 182 264
1174 195 260
1175 131 137
1176 119 67
1177 182 175
1178 135 124
1179 41 129
1180 82 221
1181 105 5
1182 67 173
1183 37 264
1184 96 161
1185 190 297
1186 149 227
1187 179 221
1188 177 240
1189 133 60
1190 111 287
1191 64 197
1192 41 241
1193 135 104
1194 52 256
1195 164 22
1196 144 24
1197 154 66
1198 145 167
1199 149 8
1200 103 230
1201 128 40
1202 193 202
1203 48 13
1204 129 248
1205 92 143
1206 34 268
1207 172 91
1208 104 162
1209 66 76
1210 121 177
1211 105 44
1212 25 226
1213 113 149
1214 88 241
1215 48 171
1216 191 263
1217 146 79
1218 184 273
1219 39 160
